epoch,rn50,vits,swint,mixer,gmlp
0,0.166,0.314,0.418,0.358000002,0.234
1,6.154,3.616,4.464,4.064000001,4.202
2,11.54,6.614,11.464,11.05,11.182
3,17.734,9.532,17.06,17.23400007,19.716
4,22.676,12.46,21.812,22.51600009,26.626
5,30.396,17.332,25.742,26.39200007,31.59
6,35.736,22.18,30.712,30.236,35.69
7,38.666,26.11,34.412,33.21,39.054
8,43.906,29.468,39.04,36.91999991,42.67
9,45.338,32.92,42.168,38.82799994,45.086
10,48.588,35.066,45.7,41.16200005,47.16
11,49.326,37.446,47.502,43.31800001,48.64
12,50.94,38.942,49.584,44.75400003,50.42
13,50.42,41.278,51.568,45.92800007,51.782
14,53.552,42.634,53.394,47.18799997,52.652
15,54.642,43.856,54.732,48.30000009,53.784
16,54.676,45.58,56.358,49.65800009,54.806
17,56.248,46.152,57.05,50.27399996,55.59
18,55.854,47.206,57.806,50.83800003,55.908
19,56.622,48.62,59.35,52.00200001,57.396
20,58.136,49.27,59.44,52.65,57.752
21,57.566,49.9,60.24,52.95400005,57.83
22,56.396,50.696,61.072,53.73000011,58.184
23,57.674,51.778,61.636,54.58,59.23
24,57.794,52.684,61.984,55.07400002,59.78
25,58.7,53,61.9,55.49200004,60.062
26,60.254,53.558,62.792,56.05600005,60.448
27,59.694,54.052,63.546,56.06000002,60.48
28,58.898,54.73,64.148,56.75400005,60.852
29,61.052,55.038,63.894,57.252,61.69
30,60.726,55.3,64.546,57.47400009,61.75
31,60.996,55.924,64.86,57.86799991,61.832
32,61.058,56.422,65.054,57.79800006,62.582
33,61.328,56.63,64.956,58.64000004,62.394
34,61.226,57.128,65.86,58.67600004,62.654
35,61.842,57.47,66.334,59.42400015,63.252
36,60.508,57.52,66.506,58.98799999,63.028
37,61.402,58.284,66.474,59.87800009,63.298
38,62.64,58.472,66.994,59.64600014,63.518
39,62.714,58.968,67.086,60.12200001,63.952
40,62.798,59,66.636,60.00800004,63.504
41,61.226,59.35,67.394,60.39400003,64.508
42,60.336,59.718,67.448,60.39799999,64.182
43,62.468,59.778,67.32,60.78200003,64.02
44,62.668,60.272,67.836,61.27799998,64.502
45,63.716,60.858,67.756,61.19200009,64.788
46,64.05,61.296,68.244,61.34200001,64.858
47,62.568,61.172,68.12,61.68399998,65.174
48,63.868,61.702,68.244,61.74800001,65.764
49,62.76,61.764,68.12,61.78600015,65.436
50,63.572,61.816,68.672,62.15000019,65.502
51,63.832,62.192,68.384,62.49999995,65.41
52,63.414,62.46,68.26,62.64199998,65.436
53,63.048,62.174,68.898,62.43800008,65.56
54,63.74,62.772,68.896,62.72200009,65.772
55,62.346,63.096,68.92,62.91600008,65.798
56,64.412,63.428,69.19,63.22400009,66.246
57,63.67,63.338,68.934,63.29599998,66.48
58,63.898,63.634,69.474,63.36600002,66.732
59,63.348,63.798,69.71,63.60799998,66.248
60,64.912,63.564,69.64,63.55200007,66.57
61,61.362,64.168,69.604,63.41399999,66.472
62,64.702,64.356,69.718,63.40200001,66.346
63,63.752,64.446,69.964,63.76000001,66.63
64,65.38,64.326,70.082,63.8699999,66.796
65,62.41,64.474,70.036,64.088,67.006
66,64.962,64.502,70.294,64.28400016,67.062
67,65.528,64.91,70.11,64.41000017,67.192
68,65.528,64.884,70.122,64.62200008,67.212
69,65.01,64.702,70.526,64.42600013,67.178
70,65.37,65.086,70.232,64.92400005,67.368
71,65.428,65.336,70.392,64.49800006,67.47
72,64.716,65.32,70.714,64.72400008,67.526
73,65.164,65.546,70.456,64.93999995,67.724
74,65.402,65.77,71.046,65.05800005,67.728
75,64.61,65.728,70.682,65.26400003,67.762
76,64.714,65.884,70.986,65.47600004,67.732
77,65.948,65.962,70.746,65.34800002,67.66
78,65.282,66.042,71.41,65.1599999,67.782
79,65.448,66.442,70.848,65.57600007,67.848
80,66.306,66.34,71.298,65.86199995,68.016
81,65.74,66.188,71.158,65.87200008,68.198
82,65.62,66.084,70.988,65.61800008,68.162
83,66.38,66.608,71.408,65.98199998,68.122
84,64.69,66.478,70.954,65.93200005,67.956
85,67.16,66.946,71.058,66.08799992,68.244
86,66.408,67.092,71.26,66.12599995,68.638
87,65.32,66.602,71.856,66.02,68.512
88,66.452,66.932,71.596,65.97200011,68.604
89,64.706,66.756,71.506,66.362,68.74
90,65.816,67.034,71.636,66.68999996,68.88
91,65.84,67.19,71.548,66.50600011,68.588
92,66.782,67.16,71.634,66.53799989,68.886
93,66.542,67.188,71.506,66.5619999,68.562
94,66.254,67.62,71.656,66.59999995,68.522
95,66.092,67.572,72.058,66.866,69.282
96,65.88,67.412,72.108,66.882,69.204
97,67.514,67.32,71.862,66.83200003,69.062
98,66.87,67.68,72.182,67.21599992,69.03
99,67.168,67.832,72.318,67.048,69.588
100,67.036,67.646,71.99,67.12600003,69.27
101,66.692,68.162,72.268,67.106,69.268
102,66.814,68.014,72.428,67.44000003,69.396
103,66.616,67.772,72.532,67.2000001,69.634
104,65.666,68.42,72.558,67.25000003,69.574
105,67.7,68.312,72.05,67.6280001,69.578
106,66.652,68.446,72.236,67.47199997,69.72
107,67.322,68.328,72.502,67.57399995,69.74
108,67.252,68.504,72.596,67.32599998,70.032
109,66.108,68.348,72.668,67.97800008,70.066
110,66.686,68.33,72.684,67.61399995,70.088
111,68.258,68.654,72.722,67.96600002,70.292
112,68.148,68.606,72.744,67.868,69.782
113,66.594,68.722,72.794,67.80999995,70.066
114,68.01,68.764,72.856,67.792,70.186
115,67.234,69.164,73.01,68.22999992,70.476
116,67.45,69.144,72.942,67.806,70.512
117,66.976,69.184,73.068,68.22799995,70.416
118,67.312,69.164,73.034,68.2280001,70.088
119,67.306,69.126,73.094,67.9579999,70.668
120,67.514,69.562,72.982,68.40199998,70.596
121,67.854,69.318,73.032,68.46400012,70.392
122,68.444,69.69,73.408,68.40999997,70.866
123,68.398,69.43,73.448,68.64399992,70.728
124,68.102,69.672,73.298,68.72399999,70.794
125,68.812,69.694,73.792,68.81599995,70.794
126,68.306,69.61,73.39,68.84399998,71.092
127,68.626,69.648,73.672,68.73600008,70.872
128,67.762,69.556,73.394,68.56999995,71.102
129,68.794,69.692,73.268,69.30000013,70.716
130,68.576,70.068,73.726,69.27800005,71.268
131,68.888,69.812,73.768,69.0860001,71.09
132,68.442,69.842,73.796,69.156,71.122
133,68.82,70.074,73.734,68.89800005,70.888
134,68.358,70.264,73.736,69.32200013,71.504
135,69.264,70.466,73.832,69.01200002,71.208
136,68.808,70.508,73.806,69.14599997,71.524
137,68.874,70.504,74.058,69.04200005,71.482
138,68.794,70.184,74.234,69.07600008,71.322
139,69.552,70.732,74.162,69.11,71.49
140,69.132,70.616,74.22,69.236,71.566
141,69.01,70.48,74.11,69.25999997,71.774
142,67.804,70.78,74.058,69.53200008,71.668
143,68.968,70.706,74.172,69.51600003,71.92
144,68.736,70.798,74.2,69.55200011,72.042
145,69.48,70.832,74.47,69.46800008,71.892
146,68.44,70.966,74.546,69.53400002,71.966
147,70.064,71.226,74.43,69.82599995,72.028
148,69.388,71.096,74.628,69.666,72.066
149,70.108,71.37,74.338,69.81200003,72.21
150,69.476,71.322,74.742,69.92599998,72.152
151,69.72,71.174,74.634,69.71200006,72.196
152,69.51,71.18,74.498,69.906,72.478
153,70.444,71.298,74.736,69.8259999,72.244
154,70.172,71.478,74.74,69.69400018,72.388
155,70.194,71.872,74.982,70.11199995,72.342
156,69.44,71.678,74.554,69.91200008,72.592
157,70.168,71.908,75.112,69.95799995,72.258
158,69.5,71.826,74.912,69.83400008,72.614
159,69.218,71.846,74.796,69.88400005,72.478
160,70.036,71.902,74.764,70.01,72.782
161,69.946,71.794,75.024,70.238,72.782
162,70.114,72.068,74.948,70.26600005,72.966
163,70.59,72.212,75.088,69.98799992,72.806
164,70.34,72.03,75.252,69.99800003,72.882
165,71.086,72.108,74.874,70.21799997,72.926
166,70.554,72.22,74.848,70.05200004,72.906
167,70.966,72.314,75.154,70.304,73.204
168,70.934,72.41,75.466,70.324,73.312
169,70.34,72.372,75.632,70.25199992,73.154
170,70.904,72.556,75.186,70.29999997,73.182
171,70.65,72.536,75.554,70.05399998,73.228
172,70.592,72.184,75.436,70.17000016,73.314
173,71.114,72.764,75.486,70.53399997,73.52
174,70.774,72.576,75.58,70.46999995,73.424
175,70.662,72.728,75.506,70.56199995,73.538
176,71.56,72.7,75.76,70.686,73.61
177,71.038,72.804,75.746,70.54,73.324
178,71.106,72.95,75.562,70.84000007,73.598
179,71.512,73.058,75.704,70.42,73.738
180,71.45,73.224,75.842,70.5640001,73.646
181,71.654,73.214,76.006,70.82800005,73.63
182,71.228,73.42,75.752,70.87999998,73.91
183,70.722,73.116,75.932,70.77199992,73.846
184,71.658,73.226,75.91,70.31199998,73.876
185,71.668,73.318,75.87,70.69000011,74.05
186,71.28,73.418,76.172,70.70200008,73.862
187,71.926,73.27,76.18,70.71800018,73.766
188,72.056,73.652,76.178,70.58000005,74.046
189,72.282,73.528,76.164,70.71400004,74.282
190,71.974,73.778,76.098,70.87799998,74.212
191,72.306,73.756,76.362,70.86200003,74.268
192,72.456,74.004,76.378,70.73999995,74.226
193,72.164,73.77,76.146,70.72000006,74.282
194,72.348,73.966,76.168,70.98000005,74.446
195,72.382,73.852,76.256,70.47400003,74.276
196,72.626,74.222,76.496,70.76400008,74.502
197,72.634,74.22,76.6,70.69400008,74.614
198,73.036,73.996,76.636,70.44000002,74.822
199,72.29,73.788,76.4,70.538,74.51
200,73.226,74.116,76.332,70.64600008,74.594
201,72.592,74.16,76.512,70.626,74.544
202,72.81,74.43,76.538,70.63200003,74.438
203,72.498,74.146,76.462,70.36000011,74.682
204,73.184,74.202,76.71,70.68799992,74.694
205,73.26,74.378,76.706,70.67800013,74.836
206,73.196,74.45,76.778,70.69200003,74.984
207,73.466,74.486,76.79,70.43200003,74.942
208,73.25,74.414,76.776,70.4500001,74.898
209,73.48,74.64,76.692,70.80000008,75.11
210,73.53,74.71,76.89,70.80800006,75.146
211,73.44,74.482,76.814,70.53200008,74.968
212,73.926,74.674,76.778,70.29600005,75.042
213,73.984,74.822,76.93,70.4940001,75.112
214,73.81,75.014,76.888,70.324,75.03
215,73.722,74.912,76.726,70.30800003,75.06
216,73.844,74.884,76.82,70.29800011,75.3
217,74,74.878,76.544,70.52200016,75.326
218,74.126,74.862,76.874,69.49600003,75.3
219,73.888,75.108,76.962,70.28399993,75.424
220,73.744,75.174,76.966,70.18400006,75.622
221,73.714,75.04,77.06,70.30800006,75.612
222,72.734,75.2,77.016,70.07600005,75.488
223,74.272,75.242,76.992,69.92000003,75.39
224,74.08,75.34,77.224,70.12799988,75.676
225,74.384,75.222,77.072,69.71799993,75.48
226,74.318,75.418,77.16,70.43000019,75.73
227,74.756,75.408,77.256,69.98000003,75.292
228,74.012,75.328,76.99,70.07400004,75.534
229,74.454,75.622,77.296,70.07599993,75.71
230,74.678,75.648,77.114,70.19200011,75.714
231,74.864,75.756,77.242,70.10000009,75.74
232,74.918,75.668,77.396,69.67599999,75.626
233,74.596,75.67,77.118,69.70200011,75.872
234,74.59,75.868,77.258,70.142,75.812
235,74.544,75.736,77.208,69.49400003,75.894
236,75.126,75.872,77.136,69.64000011,75.87
237,74.79,76.044,77.376,69.67800005,75.926
238,75.074,75.904,77.352,69.31200006,76.042
239,74.802,75.79,77.324,69.73599998,75.934
240,75.216,75.942,77.45,69.28400006,75.876
241,75.28,75.886,77.252,69.22799996,76.082
242,75.352,75.968,77.102,69.79000006,76.012
243,75.27,76.112,77.274,69.63400012,76.15
244,75.336,75.956,77.312,69.06600004,76.186
245,75.462,76.04,77.154,69.74400009,76.114
246,75.262,76.18,77.274,69.26200001,76.196
247,75.458,76.092,77.23,69.67600004,76.252
248,75.42,76.202,77.254,69.19399991,76.01
249,75.818,76.308,77.338,68.71200014,76.15
250,75.522,76.328,77.298,69.36400007,76.302
251,75.634,76.288,77.168,69.21400004,76.232
252,75.792,76.358,77.128,69.39999999,76.302
253,75.912,76.36,77.378,69.16799997,76.218
254,75.84,76.328,77.12,68.99199997,76.208
255,75.844,76.242,77.34,68.96599999,76.158
256,75.89,76.352,77.394,69.09600009,76.328
257,75.944,76.366,77.286,69.32000014,76.378
258,76.032,76.242,77.282,69.17800004,76.464
259,76.042,76.348,77.338,69.06199994,76.488
260,76.182,76.526,77.204,69.14200012,76.352
261,76.016,76.286,77.206,68.92799994,76.368
262,76.122,76.436,77.314,69.15599996,76.384
263,75.982,76.538,77.288,69.21600011,76.486
264,76.256,76.53,77.524,68.88599997,76.356
265,76.218,76.308,77.218,68.72200002,76.392
266,76.138,76.338,77.134,68.79800014,76.442
267,76.352,76.34,77.25,68.65400002,76.356
268,76.358,76.434,77.304,68.91200004,76.494
269,76.44,76.562,77.428,69.05599991,76.454
270,76.316,76.496,77.23,68.84400002,76.478
271,76.342,76.582,77.224,68.51000002,76.37
272,76.356,76.532,77.156,68.64000014,76.67
273,76.446,76.632,77.03,68.85200007,76.478
274,76.452,76.464,77.268,68.92999994,76.556
275,76.392,76.498,77.234,68.36199997,76.588
276,76.592,76.522,77.206,68.68199999,76.53
277,76.432,76.472,77.414,68.68600007,76.546
278,76.52,76.538,77.262,68.61599999,76.536
279,76.57,76.508,77.34,68.87400004,76.554
280,76.604,76.636,77.362,68.71200002,76.536
281,76.708,76.654,77.276,68.66599991,76.566
282,76.636,76.524,77.154,68.7720001,76.502
283,76.706,76.624,77.26,68.76400007,76.57
284,76.702,76.584,77.256,68.78999994,76.472
285,76.702,76.632,77.222,68.76399999,76.482
286,76.698,76.634,77.2,68.74599994,76.56
287,76.708,76.618,77.27,68.92200009,76.574
288,76.65,76.56,77.274,68.74399999,76.492
289,76.732,76.602,77.288,68.77400007,76.5
290,76.664,76.642,77.344,68.72399999,76.544
291,76.698,76.638,77.23,68.68000002,76.552
292,76.742,76.664,77.284,68.75799994,76.584
293,76.722,76.586,77.292,68.69600012,76.576
294,76.704,76.648,77.32,68.64999997,76.534
295,76.736,76.646,77.33,68.71800002,76.566
296,76.7,76.672,77.278,68.63600002,76.538
297,76.726,76.672,77.308,68.63800004,76.54
298,76.688,76.69,77.372,68.67800002,76.55
299,76.782,76.668,77.33,68.70599997,76.58
